T,E
1.3886715637645892,-484.0
1.0515013420650794,-512.0
1.0719359664855714,-436.0
1.4021959139735387,-488.0
1.483115956071591,-496.0
1.413145962097179,-504.0
1.254176369223471,-424.0
1.2905305698501974,-512.0
1.2251929689477836,-504.0
1.1183311814987906,-512.0
1.1223982507750727,-512.0
1.364842854338689,-496.0
1.265705520502289,-512.0
1.4070101923330174,-504.0
1.3173591600002954,-504.0
1.0156417564508222,-432.0
1.449183273680768,-512.0
1.3860524456772927,-512.0
1.3081544849637665,-512.0
1.3136544203512215,-432.0
1.4247176665448895,-500.0
1.0813717430524787,-504.0
1.1709634692728301,-512.0
1.0073414217800354,-512.0
1.2278881449168055,-512.0
1.141623466625057,-424.0
1.2682840067885446,-512.0
1.0936194723076706,-512.0
1.337298738489512,-512.0
1.32492330077741,-512.0
1.4073192215589414,-512.0
1.4951608321631362,-496.0
1.3173145587091315,-504.0
1.2324867280968266,-512.0
1.3262165282605158,-512.0
1.0671834566565308,-512.0
1.1895263475186526,-504.0
1.2211570635339466,-504.0
1.2185759594361654,-512.0
1.4973508744675124,-512.0
1.0618769018251724,-512.0
1.319781635618555,-500.0
1.3004202039725405,-492.0
1.0252598481860025,-512.0
1.329711317345951,-512.0
1.325965512789987,-504.0
1.0208070869309462,-512.0
1.1607664957411659,-500.0
1.144077807091231,-512.0
1.0475245987822006,-512.0
1.1807680393195996,-504.0
1.150671316257359,-512.0
1.4764496975348724,-496.0
1.0788058243124998,-512.0
1.1522332632380166,-512.0
1.059836277932447,-428.0
1.234777905637904,-512.0
1.1060737037616506,-432.0
1.0698842054769784,-512.0
1.3557790207983889,-504.0
1.0187062780880898,-436.0
1.3843237459588285,-500.0
1.1868070692297858,-496.0
1.1579645259153966,-512.0
1.3910025853690886,-504.0
1.229280321229245,-512.0
1.0290542408607237,-512.0
1.1772629840649342,-512.0
1.3490948628049568,-420.0
1.309559543213487,-412.0
1.1246937879161059,-512.0
1.0115700472909732,-512.0
1.1265923030633007,-512.0
1.2164862464338837,-504.0
1.1218337270278567,-512.0
1.0538704729779482,-512.0
1.4007409054297075,-512.0
1.2920489844563678,-504.0
1.4252668395953914,-504.0
1.0722620944330234,-440.0
1.323974241100605,-512.0
1.2399317002755326,-496.0
1.3321567701636938,-512.0
1.002370696455937,-428.0
1.3713462833625427,-504.0
1.0630131708733133,-512.0
1.2096361939504026,-512.0
1.2194557301525233,-512.0
1.061378966205743,-504.0
1.4853490121974517,-504.0
1.4467233198489315,-484.0
1.4004819268208382,-512.0
1.0224553096961646,-436.0
1.192252188994964,-504.0
1.0422221605699447,-512.0
1.4391828669054008,-484.0
1.2654251971439072,-504.0
1.3708073163657577,-504.0
1.4807748147705162,-504.0
1.2849669093207632,-512.0
1.0998878258300289,-504.0
1.2796035803727068,-428.0
1.2494084792657425,-512.0
1.2856163258713864,-416.0
1.4684065752668896,-512.0
1.0113560365669303,-512.0
1.1163203709832168,-512.0
1.3358064044279294,-488.0
1.0400246418230925,-512.0
1.336120046519906,-504.0
1.1012022965628592,-512.0
1.2338201283132983,-512.0
1.381961695003294,-504.0
1.0062349389706067,-512.0
1.0225865584947131,-512.0
1.3498535669053748,-504.0
1.3169875558405426,-424.0
1.118372435552198,-512.0
1.0684106390148131,-504.0
1.0827438787908874,-512.0
1.0250533448484669,-504.0
1.2648728330912489,-512.0
1.2241228066271757,-512.0
1.1507560445739382,-412.0
1.4638977150861403,-488.0
1.0523075484023876,-504.0
1.4375024711173043,-488.0
1.4651923087945753,-488.0
1.3351016276756775,-512.0
1.4338694768880056,-488.0
1.347399064409249,-444.0
1.005363822487838,-512.0
1.1833041924663061,-512.0
1.0272501574956479,-512.0
1.4372875699277858,-496.0
1.050835951451858,-432.0
1.425137149416861,-496.0
1.4689132274874914,-512.0
1.4209966055197316,-512.0
1.2563696223033791,-512.0
1.0603276687218433,-512.0
1.3172701324758986,-512.0
1.462420934509031,-512.0
1.3547891425503105,-512.0
1.402382178748401,-512.0
1.4977322362918186,-488.0
1.1591995589142299,-512.0
1.3267196045047476,-504.0
1.2923194170670826,-504.0
1.2572915259427655,-512.0
1.042057667278441,-512.0
1.2767704200448058,-512.0
1.1480164314550128,-504.0
1.2333605018635172,-504.0
1.0585517829500553,-512.0
1.0577450318326775,-424.0
1.3824994287080128,-512.0
1.1059773055402713,-512.0
1.4535518110781074,-472.0
1.4584242038145978,-512.0
1.1852298530174346,-512.0
1.19628635792096,-500.0
1.0892208809109154,-504.0
1.1732464306565245,-512.0
1.2160465198875519,-512.0
1.1136193608923883,-512.0
1.082953433938267,-432.0
1.3501325510011246,-512.0
1.4263905648159563,-504.0
1.156284974514292,-512.0
1.4247044214615365,-504.0
1.0823039087910091,-504.0
1.4776747140939055,-488.0
1.1172675752206493,-504.0
1.2241036641284357,-440.0
1.0917666144401594,-512.0
1.0302642254132681,-512.0
1.1905106130482412,-512.0
1.1473869747872714,-504.0
1.2084446842974426,-504.0
1.1127964341021055,-512.0
1.0223245444871394,-436.0
1.120819454369543,-512.0
1.3527031827420064,-504.0
1.2770180717695248,-512.0
1.379259764917605,-512.0
1.4993716850333825,-500.0
1.0532097659356914,-512.0
1.074219494960029,-444.0
1.3972285152479422,-512.0
1.096520745434452,-512.0
1.4545324072114743,-412.0
1.0746870781840754,-436.0
1.413815585996291,-504.0
1.4465605606610987,-500.0
1.1589955484760246,-504.0
1.3723810779539085,-504.0
